"dataset","variant","strategy","metric","cell_status","enrichment_status","n_snp_in_class1","n_class1_total","n_snp_total_truth","fisher_p","fisher_p_bonferroni","max_overlap_cluster","max_overlap_OR"
"GISAID_US","Gamma","cumulative_1m","hellinger_T1","ok","ok",10,44,10,0.286671332866713,1,1,7.69272234234694
"GISAID_US","Gamma","cumulative_1m","hellinger_Tpred","ok","ok",10,44,10,0.325467453254675,1,1,3.88354175833702
"GISAID_US","Gamma","disjoint_2m","entropy","ok","ok",10,44,10,0.18958104189581,1,2,6.99356214337858
"GISAID_US","Gamma","disjoint_2m","hellinger_T1","ok","ok",10,44,10,0.0923412199944427,1,1,Inf
"GISAID_US","Gamma","disjoint_2m","hellinger_Tpred","ok","ok",10,44,10,0.0923412199944427,1,1,Inf
"GISAID_US","Gamma","sliding_2m","entropy","ok","ok",10,44,10,0.0292970702929707,1,2,9.05757920039472
"GISAID_US","Gamma","sliding_2m","hellinger_T1","ok","ok",10,44,10,0.0923412199944427,1,1,Inf
"GISAID_US","Gamma","sliding_2m","hellinger_Tpred","ok","ok",10,44,10,0.0923412199944427,1,1,Inf
"GISAID_US","Iota","cumulative_1m","entropy","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"GISAID_US","Iota","cumulative_1m","hellinger_T1","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"GISAID_US","Iota","cumulative_1m","hellinger_Tpred","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"GISAID_US","Iota","disjoint_2m","entropy","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"GISAID_US","Iota","disjoint_2m","hellinger_T1","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"GISAID_US","Iota","disjoint_2m","hellinger_Tpred","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"GISAID_US","Iota","sliding_2m","entropy","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"GISAID_US","Iota","sliding_2m","hellinger_T1","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"GISAID_US","Iota","sliding_2m","hellinger_Tpred","underpowered_bin",NA,NA,NA,NA,NA,NA,NA,NA
"GISAID_US","Kappa","cumulative_1m","entropy","ok","ok",3,45,4,0.0021997800219978,0.483951604839516,5,Inf
"GISAID_US","Kappa","cumulative_1m","hellinger_T1","ok","ok",3,45,4,0.053994600539946,1,4,Inf
"GISAID_US","Kappa","cumulative_1m","hellinger_Tpred","ok","ok",3,45,4,0.0404959504049595,1,2,9.26536501343648
"GISAID_US","Kappa","disjoint_2m","entropy","ok","ok",3,45,4,0.0846915308469153,1,4,Inf
"GISAID_US","Kappa","disjoint_2m","hellinger_T1","ok","ok",3,45,4,0.0972515856236786,1,2,9.26536501343648
