"dataset","variant","metric","strategy_a","strategy_b","n_sites_common","k_a","k_b","ARI"
"GISAID_US","Theta","entropy","sliding_2m","disjoint_2m",44,4,5,0.584979425010968
"GISAID_US","Theta","entropy","sliding_2m","cumulative_1m",44,4,2,0.0053111807163285
"GISAID_US","Theta","entropy","disjoint_2m","cumulative_1m",44,5,2,0.00676515256109353
"GISAID_US","Theta","hellinger_T1","sliding_2m","disjoint_2m",44,2,2,1
"GISAID_US","Theta","hellinger_T1","sliding_2m","cumulative_1m",44,2,4,0.537270581229663
"GISAID_US","Theta","hellinger_T1","disjoint_2m","cumulative_1m",44,2,4,0.537270581229663
"GISAID_US","Theta","hellinger_Tpred","sliding_2m","disjoint_2m",44,2,2,1
"GISAID_US","Theta","hellinger_Tpred","sliding_2m","cumulative_1m",44,2,4,0.480732045060442
"GISAID_US","Theta","hellinger_Tpred","disjoint_2m","cumulative_1m",44,2,4,0.480732045060442
"NCBI_US","Alpha","entropy","sliding_2m","disjoint_2m",25,6,2,0.0469738030713641
"NCBI_US","Alpha","entropy","sliding_2m","cumulative_1m",25,6,2,0.0469738030713641
"NCBI_US","Alpha","entropy","disjoint_2m","cumulative_1m",25,2,2,1
"NCBI_US","Alpha","hellinger_T1","sliding_2m","disjoint_2m",25,3,3,1
"NCBI_US","Alpha","hellinger_T1","sliding_2m","cumulative_1m",25,3,2,0.129534940345751
"NCBI_US","Alpha","hellinger_T1","disjoint_2m","cumulative_1m",25,3,2,0.129534940345751
"NCBI_US","Alpha","hellinger_Tpred","sliding_2m","disjoint_2m",25,3,2,0.913070613409415
"NCBI_US","Alpha","hellinger_Tpred","sliding_2m","cumulative_1m",25,3,2,0.129534940345751
"NCBI_US","Alpha","hellinger_Tpred","disjoint_2m","cumulative_1m",25,2,2,-0.0172143974960875
"NCBI_US","Beta","entropy","sliding_2m","disjoint_2m",25,6,2,0.0469738030713641
"NCBI_US","Beta","entropy","sliding_2m","cumulative_1m",25,6,2,0.0469738030713641
"NCBI_US","Beta","entropy","disjoint_2m","cumulative_1m",25,2,2,1
"NCBI_US","Beta","hellinger_T1","sliding_2m","disjoint_2m",25,3,6,0.560429172377936
"NCBI_US","Beta","hellinger_T1","sliding_2m","cumulative_1m",25,3,2,0.129534940345751
"NCBI_US","Beta","hellinger_T1","disjoint_2m","cumulative_1m",25,6,2,0.0525050841190609
"NCBI_US","Beta","hellinger_Tpred","sliding_2m","disjoint_2m",25,3,3,1
"NCBI_US","Beta","hellinger_Tpred","sliding_2m","cumulative_1m",25,3,2,0.514134275618375
"NCBI_US","Beta","hellinger_Tpred","disjoint_2m","cumulative_1m",25,3,2,0.514134275618375
"NCBI_US","Delta","entropy","sliding_2m","disjoint_2m",24,5,5,0.959752096244987
"NCBI_US","Delta","entropy","sliding_2m","cumulative_1m",24,5,3,0.681969798047183
"NCBI_US","Delta","entropy","disjoint_2m","cumulative_1m",24,5,3,0.648492934683729
"NCBI_US","Delta","hellinger_T1","sliding_2m","disjoint_2m",24,2,4,0.602538802069444
"NCBI_US","Delta","hellinger_T1","sliding_2m","cumulative_1m",24,2,3,0.219308448768108
"NCBI_US","Delta","hellinger_T1","disjoint_2m","cumulative_1m",24,4,3,0.40890919474586
"NCBI_US","Delta","hellinger_Tpred","sliding_2m","disjoint_2m",24,3,3,1
"NCBI_US","Delta","hellinger_Tpred","sliding_2m","cumulative_1m",24,3,2,0.455467869222097
"NCBI_US","Delta","hellinger_Tpred","disjoint_2m","cumulative_1m",24,3,2,0.455467869222097
"NCBI_US","Epsilon","entropy","sliding_2m","disjoint_2m",26,2,2,1
"NCBI_US","Epsilon","hellinger_T1","sliding_2m","disjoint_2m",26,2,2,1
"NCBI_US","Epsilon","hellinger_Tpred","sliding_2m","disjoint_2m",26,2,2,1
"NCBI_US","Eta","entropy","sliding_2m","disjoint_2m",25,2,2,1
"NCBI_US","Eta","hellinger_T1","sliding_2m","disjoint_2m",25,2,2,1
"NCBI_US","Eta","hellinger_Tpred","sliding_2m","disjoint_2m",25,6,3,0.560429172377936
"NCBI_US","Gamma","entropy","sliding_2m","disjoint_2m",25,6,2,0.0469738030713641
"NCBI_US","Gamma","entropy","sliding_2m","cumulative_1m",25,6,2,0.0469738030713641
"NCBI_US","Gamma","entropy","disjoint_2m","cumulative_1m",25,2,2,1
"NCBI_US","Gamma","hellinger_T1","sliding_2m","disjoint_2m",25,3,6,0.560429172377936
"NCBI_US","Gamma","hellinger_T1","sliding_2m","cumulative_1m",25,3,2,0.129534940345751
"NCBI_US","Gamma","hellinger_T1","disjoint_2m","cumulative_1m",25,6,2,0.0525050841190609
"NCBI_US","Gamma","hellinger_Tpred","sliding_2m","disjoint_2m",25,3,3,1
"NCBI_US","Gamma","hellinger_Tpred","sliding_2m","cumulative_1m",25,3,2,0.514134275618375
"NCBI_US","Gamma","hellinger_Tpred","disjoint_2m","cumulative_1m",25,3,2,0.514134275618375
"NCBI_US","Iota","entropy","sliding_2m","disjoint_2m",25,2,2,1
"NCBI_US","Iota","hellinger_T1","sliding_2m","disjoint_2m",25,2,2,1
"NCBI_US","Iota","hellinger_Tpred","sliding_2m","disjoint_2m",25,6,3,0.560429172377936
"NCBI_US","Kappa","entropy","sliding_2m","disjoint_2m",24,5,6,0.948873740367516
"NCBI_US","Kappa","entropy","sliding_2m","cumulative_1m",24,5,4,0.621705812721949
"NCBI_US","Kappa","entropy","disjoint_2m","cumulative_1m",24,6,4,0.592792566549473
"NCBI_US","Kappa","hellinger_T1","sliding_2m","disjoint_2m",24,2,2,1
"NCBI_US","Kappa","hellinger_T1","sliding_2m","cumulative_1m",24,2,3,0.283268853675341
"NCBI_US","Kappa","hellinger_T1","disjoint_2m","cumulative_1m",24,2,3,0.283268853675341
"NCBI_US","Kappa","hellinger_Tpred","sliding_2m","disjoint_2m",24,2,3,0.69184964644585
"NCBI_US","Kappa","hellinger_Tpred","sliding_2m","cumulative_1m",24,2,2,0.144420131291028
"NCBI_US","Kappa","hellinger_Tpred","disjoint_2m","cumulative_1m",24,3,2,0.399530654150777
"NCBI_US","Lambda","entropy","sliding_2m","disjoint_2m",24,5,6,0.948873740367516
"NCBI_US","Lambda","entropy","sliding_2m","cumulative_1m",24,5,4,0.621705812721949
"NCBI_US","Lambda","entropy","disjoint_2m","cumulative_1m",24,6,4,0.592792566549473
"NCBI_US","Lambda","hellinger_T1","sliding_2m","disjoint_2m",24,2,2,1
"NCBI_US","Lambda","hellinger_T1","sliding_2m","cumulative_1m",24,2,3,0.283268853675341
"NCBI_US","Lambda","hellinger_T1","disjoint_2m","cumulative_1m",24,2,3,0.283268853675341
"NCBI_US","Lambda","hellinger_Tpred","sliding_2m","disjoint_2m",24,2,3,0.69184964644585
"NCBI_US","Lambda","hellinger_Tpred","sliding_2m","cumulative_1m",24,2,2,0.144420131291028
"NCBI_US","Lambda","hellinger_Tpred","disjoint_2m","cumulative_1m",24,3,2,0.399530654150777
"NCBI_US","Theta","entropy","sliding_2m","disjoint_2m",25,6,2,0.0469738030713641
"NCBI_US","Theta","entropy","sliding_2m","cumulative_1m",25,6,2,0.0469738030713641
"NCBI_US","Theta","entropy","disjoint_2m","cumulative_1m",25,2,2,1
"NCBI_US","Theta","hellinger_T1","sliding_2m","disjoint_2m",25,3,6,0.560429172377936
"NCBI_US","Theta","hellinger_T1","sliding_2m","cumulative_1m",25,3,2,0.129534940345751
"NCBI_US","Theta","hellinger_T1","disjoint_2m","cumulative_1m",25,6,2,0.0525050841190609
"NCBI_US","Theta","hellinger_Tpred","sliding_2m","disjoint_2m",25,3,3,1
"NCBI_US","Theta","hellinger_Tpred","sliding_2m","cumulative_1m",25,3,2,0.514134275618375
"NCBI_US","Theta","hellinger_Tpred","disjoint_2m","cumulative_1m",25,3,2,0.514134275618375
"NCBI_US","Zeta","entropy","sliding_2m","disjoint_2m",25,2,2,1
"NCBI_US","Zeta","hellinger_T1","sliding_2m","disjoint_2m",25,2,2,1
"NCBI_US","Zeta","hellinger_Tpred","sliding_2m","disjoint_2m",25,2,2,1
